Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search,Chrome 64.0.3282.186,,2018-03-15 18:58:59,2018-03-15 18:59:36,37.398s,PASSED
,,,,,,
Test Cases/Search Text,Chrome 64.0.3282.186,,2018-03-15 18:58:59,2018-03-15 18:59:21,21.063s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 18:59:00,2018-03-15 18:59:06,6.399s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 18:59:06,2018-03-15 18:59:09,2.567s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 18:59:09,2018-03-15 18:59:09,0.297s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 18:59:09,2018-03-15 18:59:10,1.207s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 18:59:10,2018-03-15 18:59:16,5.366s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 18:59:16,2018-03-15 18:59:18,2.451s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 18:59:18,2018-03-15 18:59:20,1.611s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-15 18:59:20,2018-03-15 18:59:21,0.723s,PASSED
,,,,,,
Test Cases/Search Images,Chrome 64.0.3282.186,,2018-03-15 18:59:21,2018-03-15 18:59:36,15.719s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 18:59:21,2018-03-15 18:59:23,2.516s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 18:59:23,2018-03-15 18:59:26,2.555s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 18:59:26,2018-03-15 18:59:26,0.168s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 18:59:26,2018-03-15 18:59:28,1.664s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 18:59:28,2018-03-15 18:59:36,7.924s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-15 18:59:36,2018-03-15 18:59:36,0.683s,PASSED
