Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search,Chrome 64.0.3282.186,,2018-03-21 12:25:39,2018-03-21 12:26:16,37.570s,PASSED
,,,,,,
Test Cases/Search Text,Chrome 64.0.3282.186,,2018-03-21 12:25:39,2018-03-21 12:26:02,22.936s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 12:25:40,2018-03-21 12:25:44,4.583s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 12:25:44,2018-03-21 12:25:51,6.415s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 12:25:51,2018-03-21 12:25:51,0.251s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 12:25:51,2018-03-21 12:25:52,1.289s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-21 12:25:52,2018-03-21 12:25:52,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 12:25:52,2018-03-21 12:25:52,0.001s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 12:25:52,2018-03-21 12:25:58,5.971s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 12:25:58,2018-03-21 12:26:00,1.792s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 12:26:00,2018-03-21 12:26:02,1.422s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 12:26:02,2018-03-21 12:26:02,0.684s,PASSED
,,,,,,
Test Cases/Search Images,Chrome 64.0.3282.186,,2018-03-21 12:26:02,2018-03-21 12:26:16,13.901s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 12:26:02,2018-03-21 12:26:05,2.802s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 12:26:05,2018-03-21 12:26:11,5.226s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 12:26:11,2018-03-21 12:26:11,0.154s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 12:26:11,2018-03-21 12:26:12,1.761s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 12:26:12,2018-03-21 12:26:12,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 12:26:12,2018-03-21 12:26:16,3.099s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 12:26:16,2018-03-21 12:26:16,0.666s,PASSED
