Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search,Chrome 64.0.3282.186,,2018-03-21 12:18:05,2018-03-21 12:18:43,38.187s,PASSED
,,,,,,
Test Cases/Search Text,Chrome 64.0.3282.186,,2018-03-21 12:18:06,2018-03-21 12:18:28,22.294s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 12:18:06,2018-03-21 12:18:12,5.358s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 12:18:12,2018-03-21 12:18:18,6.312s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 12:18:18,2018-03-21 12:18:18,0.363s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 12:18:18,2018-03-21 12:18:20,1.495s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-21 12:18:20,2018-03-21 12:18:20,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 12:18:20,2018-03-21 12:18:20,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 12:18:20,2018-03-21 12:18:24,3.876s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 12:18:24,2018-03-21 12:18:25,1.785s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 12:18:25,2018-03-21 12:18:27,1.588s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 12:18:27,2018-03-21 12:18:28,0.917s,PASSED
,,,,,,
Test Cases/Search Images,Chrome 64.0.3282.186,,2018-03-21 12:18:28,2018-03-21 12:18:43,15.481s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 12:18:28,2018-03-21 12:18:32,3.622s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 12:18:32,2018-03-21 12:18:38,5.878s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 12:18:38,2018-03-21 12:18:38,0.151s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 12:18:38,2018-03-21 12:18:39,1.732s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 12:18:39,2018-03-21 12:18:39,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 12:18:39,2018-03-21 12:18:42,2.994s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 12:18:42,2018-03-21 12:18:43,0.920s,PASSED
