Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search,Chrome 64.0.3282.186,,2018-03-19 14:40:07,2018-03-19 14:40:37,29.182s,FAILED
,,,,,,
Test Cases/Search Text,Chrome 64.0.3282.186,,2018-03-19 14:40:08,2018-03-19 14:40:28,20.231s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-19 14:40:08,2018-03-19 14:40:23,14.438s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-19 14:40:23,2018-03-19 14:40:27,4.135s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-19 14:40:27,2018-03-19 14:40:28,0.629s,PASSED
click,Chrome 64.0.3282.186,,2018-03-19 14:40:28,2018-03-19 14:40:28,0.524s,FAILED
,,,,,,
Test Cases/Search Images,Chrome 64.0.3282.186,,2018-03-19 14:40:28,2018-03-19 14:40:36,7.664s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-19 14:40:28,2018-03-19 14:40:31,2.800s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-19 14:40:31,2018-03-19 14:40:35,4.128s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-19 14:40:35,2018-03-19 14:40:35,0.173s,PASSED
click,Chrome 64.0.3282.186,,2018-03-19 14:40:35,2018-03-19 14:40:36,0.369s,FAILED
