Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search,Chrome 64.0.3282.186,,2018-03-21 13:49:35,2018-03-21 13:50:21,46.426s,PASSED
,,,,,,
Test Cases/Search Text,Chrome 64.0.3282.186,,2018-03-21 13:49:36,2018-03-21 13:50:00,23.772s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 13:49:36,2018-03-21 13:49:42,5.511s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 13:49:42,2018-03-21 13:49:50,7.717s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 13:49:50,2018-03-21 13:49:50,0.204s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 13:49:50,2018-03-21 13:49:51,1.339s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-21 13:49:51,2018-03-21 13:49:51,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 13:49:51,2018-03-21 13:49:51,0.001s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 13:49:51,2018-03-21 13:49:56,4.552s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 13:49:56,2018-03-21 13:49:58,1.934s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 13:49:58,2018-03-21 13:49:59,1.302s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 13:49:59,2018-03-21 13:50:00,0.677s,PASSED
,,,,,,
Test Cases/Search Images,Chrome 64.0.3282.186,,2018-03-21 13:50:00,2018-03-21 13:50:14,14.676s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 13:50:00,2018-03-21 13:50:02,2.550s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 13:50:02,2018-03-21 13:50:09,6.496s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 13:50:09,2018-03-21 13:50:09,0.160s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 13:50:09,2018-03-21 13:50:10,1.516s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 13:50:10,2018-03-21 13:50:10,0.001s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 13:50:10,2018-03-21 13:50:14,3.121s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 13:50:14,2018-03-21 13:50:14,0.693s,PASSED
,,,,,,
Test Cases/Open Google Browser,Chrome 64.0.3282.186,,2018-03-21 13:50:14,2018-03-21 13:50:21,7.213s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 13:50:14,2018-03-21 13:50:17,2.566s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 13:50:17,2018-03-21 13:50:21,3.805s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 13:50:21,2018-03-21 13:50:21,0.617s,PASSED
