Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search,Chrome 64.0.3282.186,,2018-03-15 19:07:26,2018-03-15 19:07:58,31.947s,PASSED
,,,,,,
Test Cases/Search Text,Chrome 64.0.3282.186,,2018-03-15 19:07:27,2018-03-15 19:07:49,21.965s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 19:07:28,2018-03-15 19:07:33,5.324s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 19:07:33,2018-03-15 19:07:36,3.258s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 19:07:36,2018-03-15 19:07:36,0.258s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 19:07:36,2018-03-15 19:07:38,1.398s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 19:07:38,2018-03-15 19:07:44,5.895s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 19:07:44,2018-03-15 19:07:47,2.901s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 19:07:47,2018-03-15 19:07:48,1.606s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-15 19:07:48,2018-03-15 19:07:49,0.899s,PASSED
,,,,,,
Test Cases/Search Images,Chrome 64.0.3282.186,,2018-03-15 19:07:49,2018-03-15 19:07:58,9.170s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 19:07:49,2018-03-15 19:07:52,2.469s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 19:07:52,2018-03-15 19:07:54,2.628s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 19:07:54,2018-03-15 19:07:55,0.189s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 19:07:55,2018-03-15 19:07:56,1.649s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 19:07:56,2018-03-15 19:07:57,1.099s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-15 19:07:57,2018-03-15 19:07:58,0.921s,PASSED
