Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search,Chrome 64.0.3282.186,,2018-03-21 12:15:48,2018-03-21 12:16:47,59.099s,PASSED
,,,,,,
Test Cases/Search Text,Chrome 64.0.3282.186,,2018-03-21 12:15:48,2018-03-21 12:16:31,42.207s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 12:15:49,2018-03-21 12:15:58,9.055s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 12:15:58,2018-03-21 12:16:15,16.886s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 12:16:15,2018-03-21 12:16:18,2.939s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 12:16:18,2018-03-21 12:16:21,2.855s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-21 12:16:21,2018-03-21 12:16:21,0.003s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 12:16:21,2018-03-21 12:16:21,0.004s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 12:16:21,2018-03-21 12:16:26,5.614s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 12:16:26,2018-03-21 12:16:28,1.897s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 12:16:28,2018-03-21 12:16:30,1.505s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 12:16:30,2018-03-21 12:16:31,0.963s,PASSED
,,,,,,
Test Cases/Search Images,Chrome 64.0.3282.186,,2018-03-21 12:16:31,2018-03-21 12:16:47,16.327s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 12:16:31,2018-03-21 12:16:34,3.594s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 12:16:34,2018-03-21 12:16:41,6.334s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 12:16:41,2018-03-21 12:16:41,0.127s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 12:16:41,2018-03-21 12:16:43,1.866s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 12:16:43,2018-03-21 12:16:43,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 12:16:43,2018-03-21 12:16:46,3.276s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 12:16:46,2018-03-21 12:16:47,0.961s,PASSED
