Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search,Chrome 64.0.3282.186,,2018-03-21 11:42:30,2018-03-21 11:43:31,1m - 0.698s,PASSED
,,,,,,
Test Cases/Search Text,Chrome 64.0.3282.186,,2018-03-21 11:42:31,2018-03-21 11:43:14,42.778s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 11:42:32,2018-03-21 11:42:48,16.537s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 11:42:48,2018-03-21 11:43:01,13.281s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 11:43:01,2018-03-21 11:43:02,0.449s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 11:43:02,2018-03-21 11:43:03,1.632s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-21 11:43:03,2018-03-21 11:43:03,0.006s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 11:43:03,2018-03-21 11:43:03,0.003s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 11:43:03,2018-03-21 11:43:10,6.415s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 11:43:10,2018-03-21 11:43:12,1.637s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 11:43:12,2018-03-21 11:43:13,1.341s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 11:43:13,2018-03-21 11:43:14,0.963s,PASSED
,,,,,,
Test Cases/Search Images,Chrome 64.0.3282.186,,2018-03-21 11:43:14,2018-03-21 11:43:30,16.595s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 11:43:14,2018-03-21 11:43:17,3.229s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 11:43:17,2018-03-21 11:43:23,5.515s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 11:43:23,2018-03-21 11:43:23,0.181s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 11:43:23,2018-03-21 11:43:25,1.873s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 11:43:25,2018-03-21 11:43:25,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 11:43:25,2018-03-21 11:43:29,4.423s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 11:43:29,2018-03-21 11:43:30,0.976s,PASSED
